id,created_date,created_time,machine_name,location,machine_id,pressure
118224,04-01-2025,00:00:00,Wax Injection Machine,AAA floor 2,wm-1,115.25
118225,04-01-2025,00:10:00,Wax Injection Machine,AAA floor 2,wm-1,200.48
118226,04-01-2025,00:20:00,Wax Injection Machine,AAA floor 2,wm-1,140.86
118227,04-01-2025,00:30:00,Wax Injection Machine,AAA floor 2,wm-1,103.21
118228,04-01-2025,00:40:00,Wax Injection Machine,AAA floor 2,wm-1,123.85
118229,04-01-2025,00:50:00,Wax Injection Machine,AAA floor 2,wm-1,198.65
118230,04-01-2025,01:00:00,Wax Injection Machine,AAA floor 2,wm-1,120.77
118231,04-01-2025,01:10:00,Wax Injection Machine,AAA floor 2,wm-1,106.62
118232,04-01-2025,01:20:00,Wax Injection Machine,AAA floor 2,wm-1,118.46
118233,04-01-2025,01:30:00,Wax Injection Machine,AAA floor 2,wm-1,116.94
118234,04-01-2025,01:40:00,Wax Injection Machine,AAA floor 2,wm-1,117.64
118235,04-01-2025,01:50:00,Wax Injection Machine,AAA floor 2,wm-1,204.09
118236,04-01-2025,02:00:00,Wax Injection Machine,AAA floor 2,wm-1,95.39
118237,04-01-2025,02:10:00,Wax Injection Machine,AAA floor 2,wm-1,113.74
118238,04-01-2025,02:20:00,Wax Injection Machine,AAA floor 2,wm-1,170.76
118239,04-01-2025,02:30:00,Wax Injection Machine,AAA floor 2,wm-1,103
118240,04-01-2025,02:40:00,Wax Injection Machine,AAA floor 2,wm-1,218.53
118241,04-01-2025,02:50:00,Wax Injection Machine,AAA floor 2,wm-1,177.95
118242,04-01-2025,03:00:00,Wax Injection Machine,AAA floor 2,wm-1,199.58
118243,04-01-2025,03:10:00,Wax Injection Machine,AAA floor 2,wm-1,191.05
118244,04-01-2025,03:20:00,Wax Injection Machine,AAA floor 2,wm-1,117.28
118245,04-01-2025,03:30:00,Wax Injection Machine,AAA floor 2,wm-1,155.1
118246,04-01-2025,03:40:00,Wax Injection Machine,AAA floor 2,wm-1,102.3
118247,04-01-2025,03:50:00,Wax Injection Machine,AAA floor 2,wm-1,157.29
118248,04-01-2025,04:00:00,Wax Injection Machine,AAA floor 2,wm-1,188.04
118249,04-01-2025,04:10:00,Wax Injection Machine,AAA floor 2,wm-1,197.15
118250,04-01-2025,04:20:00,Wax Injection Machine,AAA floor 2,wm-1,208.3
118251,04-01-2025,04:30:00,Wax Injection Machine,AAA floor 2,wm-1,139.62
118252,04-01-2025,04:40:00,Wax Injection Machine,AAA floor 2,wm-1,139.31
118253,04-01-2025,04:50:00,Wax Injection Machine,AAA floor 2,wm-1,187.62
118254,04-01-2025,05:00:00,Wax Injection Machine,AAA floor 2,wm-1,135.69
118255,04-01-2025,05:10:00,Wax Injection Machine,AAA floor 2,wm-1,158.1
118256,04-01-2025,05:20:00,Wax Injection Machine,AAA floor 2,wm-1,128.76
118257,04-01-2025,05:30:00,Wax Injection Machine,AAA floor 2,wm-1,214.23
118258,04-01-2025,05:40:00,Wax Injection Machine,AAA floor 2,wm-1,147.15
118259,04-01-2025,05:50:00,Wax Injection Machine,AAA floor 2,wm-1,115.04
118260,04-01-2025,06:00:00,Wax Injection Machine,AAA floor 2,wm-1,105.02
118261,04-01-2025,06:10:00,Wax Injection Machine,AAA floor 2,wm-1,114.66
118262,04-01-2025,06:20:00,Wax Injection Machine,AAA floor 2,wm-1,192.48
118263,04-01-2025,06:30:00,Wax Injection Machine,AAA floor 2,wm-1,151.88
118264,04-01-2025,06:40:00,Wax Injection Machine,AAA floor 2,wm-1,139.34
118265,04-01-2025,06:50:00,Wax Injection Machine,AAA floor 2,wm-1,164.47
118266,04-01-2025,07:00:00,Wax Injection Machine,AAA floor 2,wm-1,143.65
118267,04-01-2025,07:10:00,Wax Injection Machine,AAA floor 2,wm-1,210.22
118268,04-01-2025,07:20:00,Wax Injection Machine,AAA floor 2,wm-1,149.56
118269,04-01-2025,07:30:00,Wax Injection Machine,AAA floor 2,wm-1,107.94
118270,04-01-2025,07:40:00,Wax Injection Machine,AAA floor 2,wm-1,196.31
118271,04-01-2025,07:50:00,Wax Injection Machine,AAA floor 2,wm-1,152.92
118272,04-01-2025,08:00:00,Wax Injection Machine,AAA floor 2,wm-1,124.82
118273,04-01-2025,08:10:00,Wax Injection Machine,AAA floor 2,wm-1,111.29
118274,04-01-2025,08:20:00,Wax Injection Machine,AAA floor 2,wm-1,173.62
118275,04-01-2025,08:30:00,Wax Injection Machine,AAA floor 2,wm-1,94.17
118276,04-01-2025,08:40:00,Wax Injection Machine,AAA floor 2,wm-1,101.45
118277,04-01-2025,08:50:00,Wax Injection Machine,AAA floor 2,wm-1,101.36
118278,04-01-2025,09:00:00,Wax Injection Machine,AAA floor 2,wm-1,111.87
118279,04-01-2025,09:10:00,Wax Injection Machine,AAA floor 2,wm-1,168.77
118280,04-01-2025,09:20:00,Wax Injection Machine,AAA floor 2,wm-1,195.25
118281,04-01-2025,09:30:00,Wax Injection Machine,AAA floor 2,wm-1,174.22
118282,04-01-2025,09:40:00,Wax Injection Machine,AAA floor 2,wm-1,200.2
118283,04-01-2025,09:50:00,Wax Injection Machine,AAA floor 2,wm-1,210.27
118284,04-01-2025,10:00:00,Wax Injection Machine,AAA floor 2,wm-1,146.94
118285,04-01-2025,10:10:00,Wax Injection Machine,AAA floor 2,wm-1,184.16
118286,04-01-2025,10:20:00,Wax Injection Machine,AAA floor 2,wm-1,156.88
118287,04-01-2025,10:30:00,Wax Injection Machine,AAA floor 2,wm-1,104.01
118288,04-01-2025,10:40:00,Wax Injection Machine,AAA floor 2,wm-1,145.97
118289,04-01-2025,10:50:00,Wax Injection Machine,AAA floor 2,wm-1,101.59
118290,04-01-2025,11:00:00,Wax Injection Machine,AAA floor 2,wm-1,101.46
118291,04-01-2025,11:10:00,Wax Injection Machine,AAA floor 2,wm-1,104.1
118292,04-01-2025,11:20:00,Wax Injection Machine,AAA floor 2,wm-1,124.52
118293,04-01-2025,11:30:00,Wax Injection Machine,AAA floor 2,wm-1,169.38
118294,04-01-2025,11:40:00,Wax Injection Machine,AAA floor 2,wm-1,173.43
118295,04-01-2025,11:50:00,Wax Injection Machine,AAA floor 2,wm-1,150.49
118296,04-01-2025,12:00:00,Wax Injection Machine,AAA floor 2,wm-1,209.77
118297,04-01-2025,12:10:00,Wax Injection Machine,AAA floor 2,wm-1,170.96
118298,04-01-2025,12:20:00,Wax Injection Machine,AAA floor 2,wm-1,166.52
118299,04-01-2025,12:30:00,Wax Injection Machine,AAA floor 2,wm-1,168.51
118300,04-01-2025,12:40:00,Wax Injection Machine,AAA floor 2,wm-1,94.93
118301,04-01-2025,12:50:00,Wax Injection Machine,AAA floor 2,wm-1,181.35
118302,04-01-2025,13:00:00,Wax Injection Machine,AAA floor 2,wm-1,191.33
118303,04-01-2025,13:10:00,Wax Injection Machine,AAA floor 2,wm-1,210.48
118304,04-01-2025,13:20:00,Wax Injection Machine,AAA floor 2,wm-1,119.47
118305,04-01-2025,13:30:00,Wax Injection Machine,AAA floor 2,wm-1,134.05
118306,04-01-2025,13:40:00,Wax Injection Machine,AAA floor 2,wm-1,192.13
118307,04-01-2025,13:50:00,Wax Injection Machine,AAA floor 2,wm-1,112.75
118308,04-01-2025,14:00:00,Wax Injection Machine,AAA floor 2,wm-1,200.77
118309,04-01-2025,14:10:00,Wax Injection Machine,AAA floor 2,wm-1,118.89
118310,04-01-2025,14:20:00,Wax Injection Machine,AAA floor 2,wm-1,116.19
118311,04-01-2025,14:30:00,Wax Injection Machine,AAA floor 2,wm-1,130.92
118312,04-01-2025,14:40:00,Wax Injection Machine,AAA floor 2,wm-1,164.4
118313,04-01-2025,14:50:00,Wax Injection Machine,AAA floor 2,wm-1,205.21
118314,04-01-2025,15:00:00,Wax Injection Machine,AAA floor 2,wm-1,151.64
118315,04-01-2025,15:10:00,Wax Injection Machine,AAA floor 2,wm-1,194.54
118316,04-01-2025,15:20:00,Wax Injection Machine,AAA floor 2,wm-1,129.22
118317,04-01-2025,15:30:00,Wax Injection Machine,AAA floor 2,wm-1,102.56
118318,04-01-2025,15:40:00,Wax Injection Machine,AAA floor 2,wm-1,115.43
118319,04-01-2025,15:50:00,Wax Injection Machine,AAA floor 2,wm-1,104.82
118320,04-01-2025,16:00:00,Wax Injection Machine,AAA floor 2,wm-1,204.4
118321,04-01-2025,16:10:00,Wax Injection Machine,AAA floor 2,wm-1,100.62
118322,04-01-2025,16:20:00,Wax Injection Machine,AAA floor 2,wm-1,151.61
118323,04-01-2025,16:30:00,Wax Injection Machine,AAA floor 2,wm-1,212.36
118324,04-01-2025,16:40:00,Wax Injection Machine,AAA floor 2,wm-1,115.86
118325,04-01-2025,16:50:00,Wax Injection Machine,AAA floor 2,wm-1,178.77
118326,04-01-2025,17:00:00,Wax Injection Machine,AAA floor 2,wm-1,131.1
118327,04-01-2025,17:10:00,Wax Injection Machine,AAA floor 2,wm-1,102.72
118328,04-01-2025,17:20:00,Wax Injection Machine,AAA floor 2,wm-1,205.27
118329,04-01-2025,17:30:00,Wax Injection Machine,AAA floor 2,wm-1,172.79
118330,04-01-2025,17:40:00,Wax Injection Machine,AAA floor 2,wm-1,112.37
118331,04-01-2025,17:50:00,Wax Injection Machine,AAA floor 2,wm-1,189.69
118332,04-01-2025,18:00:00,Wax Injection Machine,AAA floor 2,wm-1,220.32
118333,04-01-2025,18:10:00,Wax Injection Machine,AAA floor 2,wm-1,121.49
118334,04-01-2025,18:20:00,Wax Injection Machine,AAA floor 2,wm-1,94.61
118335,04-01-2025,18:30:00,Wax Injection Machine,AAA floor 2,wm-1,134.87
118336,04-01-2025,18:40:00,Wax Injection Machine,AAA floor 2,wm-1,205.05
118337,04-01-2025,18:50:00,Wax Injection Machine,AAA floor 2,wm-1,113.47
118338,04-01-2025,19:00:00,Wax Injection Machine,AAA floor 2,wm-1,140.33
118339,04-01-2025,19:10:00,Wax Injection Machine,AAA floor 2,wm-1,146.86
118340,04-01-2025,19:20:00,Wax Injection Machine,AAA floor 2,wm-1,134.63
118341,04-01-2025,19:30:00,Wax Injection Machine,AAA floor 2,wm-1,134.59
118342,04-01-2025,19:40:00,Wax Injection Machine,AAA floor 2,wm-1,163.08
118343,04-01-2025,19:50:00,Wax Injection Machine,AAA floor 2,wm-1,217
118344,04-01-2025,20:00:00,Wax Injection Machine,AAA floor 2,wm-1,186.06
118345,04-01-2025,20:10:00,Wax Injection Machine,AAA floor 2,wm-1,110.88
118346,04-01-2025,20:20:00,Wax Injection Machine,AAA floor 2,wm-1,135
118347,04-01-2025,20:30:00,Wax Injection Machine,AAA floor 2,wm-1,148.35
118348,04-01-2025,20:40:00,Wax Injection Machine,AAA floor 2,wm-1,144.74
118349,04-01-2025,20:50:00,Wax Injection Machine,AAA floor 2,wm-1,110.66
118350,04-01-2025,21:00:00,Wax Injection Machine,AAA floor 2,wm-1,172.92
118351,04-01-2025,21:10:00,Wax Injection Machine,AAA floor 2,wm-1,116.45
118352,04-01-2025,21:20:00,Wax Injection Machine,AAA floor 2,wm-1,192.84
118353,04-01-2025,21:30:00,Wax Injection Machine,AAA floor 2,wm-1,130.27
118354,04-01-2025,21:40:00,Wax Injection Machine,AAA floor 2,wm-1,131.02
118355,04-01-2025,21:50:00,Wax Injection Machine,AAA floor 2,wm-1,185.95
118356,04-01-2025,22:00:00,Wax Injection Machine,AAA floor 2,wm-1,93.01
118357,04-01-2025,22:10:00,Wax Injection Machine,AAA floor 2,wm-1,181.33
118358,04-01-2025,22:20:00,Wax Injection Machine,AAA floor 2,wm-1,127.82
118359,04-01-2025,22:30:00,Wax Injection Machine,AAA floor 2,wm-1,94.35
118360,04-01-2025,22:40:00,Wax Injection Machine,AAA floor 2,wm-1,137.21
118361,04-01-2025,22:50:00,Wax Injection Machine,AAA floor 2,wm-1,211.32
118362,04-01-2025,23:00:00,Wax Injection Machine,AAA floor 2,wm-1,97.7
118363,04-01-2025,23:10:00,Wax Injection Machine,AAA floor 2,wm-1,99.9
118364,04-01-2025,23:20:00,Wax Injection Machine,AAA floor 2,wm-1,91.81
118365,04-01-2025,23:30:00,Wax Injection Machine,AAA floor 2,wm-1,118.37
118366,04-01-2025,23:40:00,Wax Injection Machine,AAA floor 2,wm-1,130.58
